naslov,leto,oskar,stevilo
A Girl in the River: The Price of Forgiveness,2015,TRUE,1
Son of Saul,2015,FALSE,0
Son of Saul,2015,TRUE,1
Spectre,2015,FALSE,0
Spectre,2015,TRUE,1
Stutterer,2015,FALSE,0
Stutterer,2015,TRUE,1
Birdman or (The Unexpected Virtue of Ignorance),2014,FALSE,5
Birdman or (The Unexpected Virtue of Ignorance),2014,TRUE,4
The Grand Budapest Hotel,2014,FALSE,5
The Grand Budapest Hotel,2014,TRUE,4
Whiplash,2014,FALSE,2
Whiplash,2014,TRUE,3
The Imitation Game,2014,FALSE,7
The Imitation Game,2014,TRUE,1
American Sniper,2014,FALSE,5
American Sniper,2014,TRUE,1
Boyhood,2014,FALSE,5
Boyhood,2014,TRUE,1
Interstellar,2014,FALSE,4
Interstellar,2014,TRUE,1
The Theory of Everything,2014,FALSE,4
The Theory of Everything,2014,TRUE,1
Ida,2014,FALSE,1
Ida,2014,TRUE,1
Selma,2014,FALSE,1
Selma,2014,TRUE,1
Citizenfour,2014,FALSE,0
Citizenfour,2014,TRUE,1
Big Hero 6,2014,FALSE,0
Big Hero 6,2014,TRUE,1
Crisis Hotline: Veterans Press 1,2014,FALSE,0
Crisis Hotline: Veterans Press 1,2014,TRUE,1
The Phone Call,2014,FALSE,0
The Phone Call,2014,TRUE,1
Still Alice,2014,FALSE,0
Still Alice,2014,TRUE,1
Feast,2014,FALSE,0
Feast,2014,TRUE,1
12 Years a Slave,2013,FALSE,6
12 Years a Slave,2013,TRUE,3
Gravity,2013,FALSE,3
Gravity,2013,TRUE,7
Dallas Buyers Club,2013,FALSE,3
Dallas Buyers Club,2013,TRUE,3
Frozen,2013,FALSE,0
Frozen,2013,TRUE,2
The Great Gatsby,2013,FALSE,0
The Great Gatsby,2013,TRUE,2
Her,2013,FALSE,4
Her,2013,TRUE,1
Blue Jasmine,2013,FALSE,2
Blue Jasmine,2013,TRUE,1
Mr Hublot,2013,FALSE,0
Mr Hublot,2013,TRUE,1
The Lady in Number 6,2013,FALSE,0
The Lady in Number 6,2013,TRUE,1
Helium,2013,FALSE,0
Helium,2013,TRUE,1
The Great Beauty,2013,FALSE,0
