naslov,leto,oskar,stevilo
Belle Epoque,1993,True,1
Ben-Hur,1959,False,1
Ben-Hur,1959,True,11
Benjy,1951,False,0
Benjy,1951,True,1
Best Boy,1979,False,0
Best Boy,1979,True,1
Beyond the Line of Duty,1942,False,0
Beyond the Line of Duty,1942,True,1
Bicycle Thieves,1949,False,1
Bicycle Thieves,1949,True,0
Big Hero 6,2014,False,0
Big Hero 6,2014,True,1
Big Mama,2000,False,0
Big Mama,2000,True,1
Bird,1988,False,0
Bird,1988,True,1
Birdman or (The Unexpected Virtue of Ignorance),2014,False,5
Birdman or (The Unexpected Virtue of Ignorance),2014,True,4
Birds Anonymous,1957,False,0
Birds Anonymous,1957,True,1
BlacKkKlansman,2018,False,5
BlacKkKlansman,2018,True,1
Black Fox: The Rise and Fall of Adolf Hitler,1962,False,0
Black Fox: The Rise and Fall of Adolf Hitler,1962,True,1
Black Hawk Down,2001,False,2
Black Hawk Down,2001,True,2
Black Narcissus,1947,False,0
Black Narcissus,1947,True,2
Black Orpheus,1959,False,0
Black Orpheus,1959,True,1
Black Panther,2018,False,4
Black Panther,2018,True,3
Black Panther: Wakanda Forever,2022,False,4
Black Panther: Wakanda Forever,2022,True,1
Black Rider,1993,False,0
Black Rider,1993,True,1
Black Swan,2010,False,4
Black Swan,2010,True,1
Black and White in Color,1976,False,0
Black and White in Color,1976,True,1
Blade Runner 2049,2017,False,3
Blade Runner 2049,2017,True,2
Blithe Spirit,1946,False,0
Blithe Spirit,1946,True,1
Blood and Sand,1941,False,1
Blood and Sand,1941,True,1
Blood on the Sun,1945,False,0
Blood on the Sun,1945,True,1
Blossoms in the Dust,1941,False,3
Blossoms in the Dust,1941,True,1
Blue Jasmine,2013,False,2
Blue Jasmine,2013,True,1
Blue Sky,1994,False,0
Blue Sky,1994,True,1
Board and Care,1979,False,0
Board and Care,1979,True,1
Bob's Birthday,1994,False,0
Bob's Birthday,1994,True,1
Body and Soul,1947,False,2
Body and Soul,1947,True,1
Bohemian Rhapsody,2018,False,1
Bohemian Rhapsody,2018,True,4
Bombshell,2019,False,2
Bombshell,2019,True,1
Bonnie and Clyde,1967,False,8
Bonnie and Clyde,1967,True,2
Bored of Education,1936,False,0
Bored of Education,1936,True,1
Born Free,1966,False,0
Born Free,1966,True,2
Born Yesterday,1950,False,4
Born Yesterday,1950,True,1
Born into Brothels,2004,False,0
